,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Actual Gaze Visual Angle_x,Actual Gaze Visual Angle_y,Expected Gaze Visual Angle_x,Expected Gaze Visual Angle_y,Recalibrated_Actual Gaze Visual Angle_x,Recalibrated_Actual Gaze Visual Angle_y,Cosine Similarity,Euclidean Error,Recalibrated_Euclidean Error
0,08/12/2023 13:37:54.365515,0,start,0.52,1.13,-0.03,0.00495,-0.99711,-0.07532,0.00863,0.46,1.13,-0.03,0.00495,-0.99711,-0.07532,0.00863,0.49,1.13,-0.03,0.00495,-0.99711,-0.07532,0.00863,0.52,1.13,-0.03,-8e-05,0.99784,0.06575,0.00115,352.46,179.87,0.0,0.0,0.13,-0.99,-1.0,0.0,0.0,0.0,0.99,0.13,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00146,0.99758,0.06586,0.02207,352.45,177.47,0.0,0.04,0.13,-0.99,-1.0,0.0,-0.04,-0.01,0.99,0.13,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.00503,-0.99711,-0.07524,0.00871,0.5200000000000018,1.325000000000011,-1.5150000000000856,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,-0.030000000000001803,-0.19500000000001116,1.4850000000000856,-0.020199272581067976,-0.13056609479962772,0.0162587298051296,-0.1532602018684548,-0.005864318301192679,-0.12608455926998802,2.44288085830447,2.4605241630005765,2.0077611943836056
1,08/12/2023 13:37:54.379695,1,start,0.52,1.13,-0.03,0.0048,-0.99711,-0.07529,0.00856,0.46,1.13,-0.03,0.0048,-0.99711,-0.07529,0.00856,0.49,1.13,-0.03,0.0048,-0.99711,-0.07529,0.00856,0.52,1.13,-0.03,-8e-05,0.99784,0.06575,0.00115,352.46,179.87,0.0,0.0,0.13,-0.99,-1.0,0.0,0.0,0.0,0.99,0.13,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00146,0.99758,0.06586,0.02207,352.45,177.47,0.0,0.04,0.13,-0.99,-1.0,0.0,-0.04,-0.01,0.99,0.13,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.00493,-0.99711,-0.0753,0.00865,0.5200000000000018,1.325000000000011,-1.5150000000000856,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,-0.030000000000001803,-0.19500000000001116,1.4850000000000856,-0.020199272581067976,-0.13056609479962772,0.0162587298051296,-0.1532602018684548,-0.005864318301192679,-0.12608455926998802,2.44288085830447,2.4605241630005765,2.0077611943836056
2,08/12/2023 13:37:54.393550,2,start,0.52,1.13,-0.03,0.00479,-0.99711,-0.07528,0.00855,0.46,1.13,-0.03,0.00479,-0.99711,-0.07528,0.00855,0.49,1.13,-0.03,0.00479,-0.99711,-0.07528,0.00855,0.52,1.13,-0.03,0.00068,0.99828,0.05738,-0.01177,353.42,181.35,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00046,0.99831,0.05757,0.00796,353.4,179.09,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.0048,-0.99711,-0.07529,0.00856,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
3,08/12/2023 13:37:54.407951,3,start,0.52,1.13,-0.03,0.00485,-0.99712,-0.07521,0.00856,0.46,1.13,-0.03,0.00485,-0.99712,-0.07521,0.00856,0.49,1.13,-0.03,0.00485,-0.99712,-0.07521,0.00856,0.52,1.13,-0.03,0.00068,0.99828,0.05738,-0.01177,353.42,181.35,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00046,0.99831,0.05757,0.00796,353.4,179.09,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.0048,-0.99712,-0.07525,0.00856,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
4,08/12/2023 13:37:54.422175,4,start,0.52,1.13,-0.03,0.00491,-0.99712,-0.07517,0.00852,0.46,1.13,-0.03,0.00491,-0.99712,-0.07517,0.00852,0.49,1.13,-0.03,0.00491,-0.99712,-0.07517,0.00852,0.52,1.13,-0.03,0.00064,0.99843,0.05488,-0.01163,353.71,181.34,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00045,0.99845,0.05507,0.00808,353.69,179.07,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.00488,-0.99712,-0.07519,0.00856,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
5,08/12/2023 13:37:54.436148,5,start,0.52,1.13,-0.03,0.00488,-0.99713,-0.07508,0.00846,0.46,1.13,-0.03,0.00488,-0.99713,-0.07508,0.00846,0.49,1.13,-0.03,0.00488,-0.99713,-0.07508,0.00846,0.52,1.13,-0.03,0.00064,0.99843,0.05488,-0.01163,353.71,181.34,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00045,0.99845,0.05507,0.00808,353.69,179.07,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.00488,-0.99712,-0.07514,0.00852,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
6,08/12/2023 13:37:54.450887,6,start,0.52,1.13,-0.03,0.00495,-0.99713,-0.07505,0.00834,0.46,1.13,-0.03,0.00495,-0.99713,-0.07505,0.00834,0.49,1.13,-0.03,0.00495,-0.99713,-0.07505,0.00834,0.52,1.13,-0.03,0.00064,0.99843,0.05488,-0.01163,353.71,181.34,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00045,0.99845,0.05507,0.00808,353.69,179.07,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.0049,-0.99713,-0.07511,0.00844,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
7,08/12/2023 13:37:54.464847,7,start,0.52,1.13,-0.03,0.00514,-0.99713,-0.07507,0.00825,0.46,1.13,-0.03,0.00514,-0.99713,-0.07507,0.00825,0.49,1.13,-0.03,0.00514,-0.99713,-0.07507,0.00825,0.52,1.13,-0.03,0.00057,0.99844,0.05483,-0.01034,353.71,181.19,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00064,0.99842,0.05502,0.0117,353.69,178.66,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.00497,-0.99713,-0.07506,0.00834,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
8,08/12/2023 13:37:54.478935,8,start,0.52,1.13,-0.03,0.00539,-0.99713,-0.0751,0.00815,0.46,1.13,-0.03,0.00539,-0.99713,-0.0751,0.00815,0.49,1.13,-0.03,0.00539,-0.99713,-0.0751,0.00815,0.52,1.13,-0.03,0.00057,0.99844,0.05483,-0.01034,353.71,181.19,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00064,0.99842,0.05502,0.0117,353.69,178.66,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.00513,-0.99713,-0.07506,0.00824,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
9,08/12/2023 13:37:54.492843,9,start,0.52,1.13,-0.03,0.00554,-0.99713,-0.07512,0.00806,0.46,1.13,-0.03,0.00554,-0.99713,-0.07512,0.00806,0.49,1.13,-0.03,0.00554,-0.99713,-0.07512,0.00806,0.52,1.13,-0.03,0.00059,0.9983,0.05738,-0.0102,353.42,181.17,0.0,-0.02,0.11,-0.99,-1.0,0.0,0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.46,1.13,-0.03,-0.00068,0.99827,0.05758,0.01185,353.4,178.64,0.0,0.02,0.11,-0.99,-1.0,0.0,-0.02,0.0,0.99,0.11,TrackingSpace,0.9980469,0.47,1.32,-1.26,0.00539,-0.99713,-0.07509,0.00813,0.49,1.2950000000000161,-1.5150000000001471,1.0,0.0,0.020000000000000018,-0.19000000000000017,1.23,0.0,-0.16500000000001624,1.485000000000147,0.0,-0.11065722117389558,0.0162587298051296,-0.1532602018684548,0.012041039325362126,-0.10954259181084755,2.608716801012971,2.6126877084720914,2.516464516507319
