,Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
2023-08-04 14:14:05,p11,calibration,1,2.7533744273751735,2.7533744273751735,,2.8618198217978175,2.8618198217978175,,2.7193907192123272,0.44148418435419556,,2.8774158965927574,2.8774158965927574,,2.418810177732971,0.39259058808652736,
2023-08-04 14:35:34,p11,calibration,2,3.3326056590367057,3.3326056590367057,,3.457314181760198,3.457314181760198,,2.743345904708898,0.4999884881773601,,3.7521092330823285,3.7521092330823285,,2.462164791546251,0.4472263534417509,
2023-08-04 14:23:17,p11,screenStabilized_headConstrained,1,2.837392783801225,2.537433901073002,2.927131175309946,2.92130915773665,2.6523381432675865,3.001776940458697,,,0.6167383387454957,2.9782082959387415,3.4588855906007367,2.8344045623556515,,,0.5491835763619058
2023-08-04 14:43:17,p11,screenStabilized_headConstrained,2,3.596124323897862,3.135787235944494,3.7339065100381776,3.7025840457647856,3.2795651147020073,3.8291966403738757,,,0.6357781363292428,3.7011410487093364,4.251793815585522,3.5363267332655632,,,0.5665287241078193
2023-08-04 14:25:20,p11,screenStabilized_walking,1,3.401406801768675,3.997819788037219,3.223364847457455,5.246790029217818,6.3161044863221685,4.927576933427888,,,,17.778918076568846,17.22413487317078,17.944532655771784,,,
2023-08-04 14:45:04,p11,screenStabilized_walking,2,3.4889942862139995,2.9609259708007114,3.6464027819883142,5.840061668548729,3.926618819052187,6.41042756988792,,,,16.433811268550166,13.114884378279749,17.423128889270345,,,
2023-08-04 14:21:05,p11,worldStabilized_bodyConstrained,1,2.3596600911608046,2.309170405841023,2.374765038569493,2.5583186593194767,2.631739603324692,2.5363533907528195,,,,4.844713542817944,5.445177047799986,4.665073491465976,,,
2023-08-04 14:41:28,p11,worldStabilized_bodyConstrained,2,2.6354924808650693,2.4876177584313726,2.679772896824882,2.9323015483430117,2.93064855385443,2.9327965300567835,,,,5.084101777292479,5.431017826693774,4.980219337360854,,,
2023-08-04 14:15:45,p11,worldStabilized_sphere,1,3.7430229140134292,3.146201623587569,4.451338291661703,4.733263679252584,3.6465482037748536,6.022991935863517,,,,14.612938018117598,14.339412896856711,14.9375612389547,,,
2023-08-04 14:36:49,p11,worldStabilized_sphere,2,3.933170384889314,3.3541696227304816,4.620241746659992,4.862388592897169,3.838563790623426,6.077310484346852,,,,14.306779059094271,14.155686798886144,14.48607271768488,,,
2023-08-04 14:05:51,p11,worldStabilized_sphere_VR,1,3.441752681807102,2.691946050912472,4.334310761096329,4.369170025647173,3.0087121884229995,5.988637744541524,,,,14.742988520688783,14.364671346260248,15.193331364639326,,,
2023-08-04 14:28:37,p11,worldStabilized_sphere_VR,2,3.6476452213853188,3.005705028159743,4.411564673610459,4.590402056943955,3.479503734824996,5.912389442477137,,,,14.440067178890171,14.17966875449351,14.749945612776436,,,
2023-08-04 14:11:36,p11,worldStabilized_walking,1,4.6994806594579135,6.427136784509054,4.182619547254249,7.090960515440269,10.043352847584371,6.2076963274304,,,,18.498815287634592,19.328458004904025,18.250611926235425,,,
2023-08-04 14:33:40,p11,worldStabilized_walking,2,4.49640891650299,5.4674344637155965,4.206356502354071,8.3394064806439,6.234723886907982,8.968090524109803,,,,18.48338640037662,16.312265746091846,19.131915977164365,,,
